gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,13,3,5,1,33,0,8,5,0,C-
Female,5,0,9,12,27,4,4,4,4,B-
Male,0,0,1,2,9,0,3,3,0,B+
Male,10,1,15,14,40,3,4,3,3,B-
Male,8,3,22,33,34,4,2,2,4,A
Male,8,1,10,21,32,5,8,5,5,B+
Male,2,1,7,7,15,3,5,5,1,B-
Male,14,10,25,47,36,8,7,3,7,A+
Male,19,2,10,13,36,1,6,4,1,C
Male,17,11,14,33,58,5,9,4,5,B+
Male,16,0,9,6,17,3,0,0,3,C+
Male,4,4,31,40,38,5,5,5,5,A-
Male,19,3,17,17,57,3,12,0,3,B
Male,4,7,10,20,27,1,9,4,1,C+
Female,9,0,0,1,19,1,9,5,1,B-
Male,4,1,10,20,35,3,12,6,3,B
Female,6,2,9,8,16,5,3,3,5,B-
Female,24,2,13,49,72,5,12,6,5,B+
Male,17,5,19,9,30,1,4,3,1,B-
Male,16,2,16,24,35,6,5,5,4,B-
Male,19,0,12,9,49,3,21,5,3,C
Male,20,0,6,48,42,3,9,4,3,C+
Male,1,3,6,4,19,0,5,5,0,C+
Male,15,6,31,67,50,6,8,6,5,A-
Male,11,0,17,6,47,2,6,4,2,B-
Male,3,8,4,5,14,1,1,1,1,B
Female,10,0,0,20,28,4,6,5,4,B
Male,10,1,17,30,38,3,4,4,3,C+
Male,15,0,0,23,39,1,8,5,1,C+
Female,10,4,8,4,28,4,6,4,4,C+
Male,20,5,18,35,51,8,5,4,8,B
Male,4,1,0,6,9,1,4,4,1,A
Male,14,2,7,18,29,7,12,2,5,B
Male,12,0,2,3,31,1,6,5,1,B-
Male,15,1,14,25,39,3,3,2,3,B+
Male,14,7,9,30,27,8,4,4,8,B+
Male,6,1,0,6,13,1,3,3,1,B-
Male,1,4,2,2,19,0,8,5,0,A+
Male,5,1,5,6,23,2,9,4,2,B-
Male,14,2,2,18,29,4,5,3,4,B-
Male,18,0,4,7,33,3,4,4,3,B+
Female,11,0,1,32,20,5,5,4,5,B-
Male,4,1,5,11,18,0,4,4,0,B
Male,9,2,1,6,33,2,8,3,2,C+
Male,21,1,14,24,58,2,7,5,2,B
Male,31,7,22,17,52,2,7,4,2,C+
Female,12,1,7,21,32,8,6,5,8,B
Male,10,1,6,8,23,2,17,5,1,B+
Female,13,0,7,42,27,10,4,4,10,B
Male,5,2,10,12,25,2,25,4,2,B
Female,5,0,3,7,23,2,8,6,2,B-
Male,15,3,19,25,51,4,11,5,2,B
Male,15,1,1,9,22,1,3,2,1,C+
Male,0,0,0,3,2,1,0,0,1,B-
Male,19,11,28,44,46,8,5,5,7,A+
Male,1,32,11,38,22,5,5,5,5,B
Male,4,0,2,8,18,2,5,5,2,C
Male,2,0,0,1,25,1,11,5,1,B
Male,2,0,1,7,13,1,4,4,1,C
Male,11,20,49,58,59,5,5,5,5,B+
Female,16,1,6,19,29,2,6,5,2,B
Male,15,15,26,45,50,4,6,0,3,A-
Female,7,0,6,12,22,3,6,4,3,B-
Male,14,3,21,41,36,3,7,4,3,B-
Male,13,2,19,16,41,1,12,4,1,B
Male,0,0,2,1,18,0,11,5,0,B
Male,0,0,0,0,21,0,9,6,0,C
Male,6,1,1,5,19,1,6,5,1,C+
Male,28,1,12,22,49,0,5,2,0,B-
Male,13,0,3,6,33,2,5,3,2,C
Male,9,0,3,9,31,2,7,4,2,A-
Male,1,1,7,7,23,0,5,4,0,C
Male,13,5,10,15,31,3,7,5,3,A-
Male,5,0,0,7,23,1,8,6,1,B
Male,23,0,4,12,32,4,6,5,4,B+
Male,8,6,18,28,27,3,4,2,3,B
Male,10,10,18,78,58,13,15,0,11,C+
Male,15,2,3,18,23,8,5,3,8,B
Female,21,3,19,33,44,2,6,4,2,B-
Male,1,5,26,20,48,5,7,6,3,B-
Female,12,1,3,6,30,1,3,3,1,B
Male,2,0,2,1,20,0,8,3,0,C+
Male,1,0,5,9,24,2,8,5,2,B
Male,8,0,8,10,37,1,5,5,1,B-
Male,8,11,3,8,15,3,3,3,3,B-
Male,7,2,25,28,32,5,7,4,5,C+
Male,8,10,10,25,25,6,1,1,6,B-
Female,16,5,12,11,41,0,3,2,0,C+
Male,43,2,17,23,62,3,5,4,2,B+
Male,8,2,7,13,41,3,5,5,3,B+
Male,16,6,19,22,56,3,5,4,3,B-
Male,4,0,5,9,22,2,6,5,2,B-
Female,11,3,25,35,58,3,11,3,3,A-
Male,14,4,16,42,48,4,6,5,4,B+
Male,29,12,18,45,65,4,5,5,4,B
Male,11,2,1,13,33,5,13,5,5,B-
Female,10,2,8,28,35,8,6,5,7,B+
Female,14,3,4,6,33,2,8,5,2,A-
Male,3,4,42,63,36,9,2,2,7,B
Male,13,16,29,53,64,6,7,5,5,B+
Female,18,2,5,14,19,4,5,4,4,A-
Male,4,2,7,8,21,1,6,4,1,B-
Male,8,4,4,11,24,3,8,4,3,B
Female,5,0,2,3,16,3,4,4,3,B
Male,9,46,67,203,99,5,4,3,4,A-
Male,3,1,16,29,41,9,13,5,9,B
Male,12,1,14,20,26,3,3,2,2,B-
Female,4,0,0,6,17,4,5,5,4,C+
Male,15,10,17,36,24,5,1,1,4,B+
Male,14,1,8,49,35,2,7,3,2,A-
Female,23,1,5,21,33,2,5,5,2,C+
Male,21,5,15,28,47,2,7,5,2,B-
Male,0,0,2,15,6,1,2,2,1,B-
Female,10,20,2,2,20,0,10,4,0,C+
Male,7,2,7,27,35,6,6,5,6,B-
Male,10,5,24,56,43,10,6,4,9,A+
Male,6,2,13,22,24,3,6,6,3,B+
Male,5,1,3,7,29,1,9,5,1,B+
Male,1,0,2,5,7,1,3,1,1,B-
Male,21,3,23,44,65,4,11,5,2,A
Male,12,3,22,28,31,3,3,3,3,B+
Male,19,39,9,94,23,15,9,1,13,B+
Female,13,0,30,23,52,4,2,2,3,B+
Male,10,5,0,5,7,4,2,2,4,C
Male,7,1,13,35,23,5,9,5,5,B+
Male,23,1,16,31,59,4,2,1,4,B
Male,28,6,20,10,61,0,6,3,0,C+
Male,10,2,14,24,31,6,5,4,6,B+
Male,1,4,22,38,24,5,3,3,5,B
Male,1,3,8,20,5,7,0,0,6,A-
Male,10,8,13,9,33,3,3,2,2,B
Female,18,3,34,63,46,7,2,2,7,B+
Female,10,1,14,18,36,3,3,3,2,A
Male,10,3,9,26,35,6,17,5,6,B
Male,0,0,1,4,4,2,2,0,2,B-
Male,0,0,1,2,2,1,1,1,1,C+
Male,7,3,5,8,18,3,4,3,3,B
Female,7,0,5,8,28,1,5,5,1,B+
Female,14,3,7,19,24,1,1,1,1,B+
Female,9,0,16,32,27,6,5,3,5,B
Male,12,4,10,77,44,5,12,6,5,A-
Male,0,6,15,21,20,3,5,4,3,A
