gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,43,2,7,4,101,2,8,4,1,A
Male,22,2,5,7,92,2,9,7,1,B
Male,8,0,4,0,42,0,7,6,0,B
Female,15,1,16,6,90,1,9,8,0,A
Female,29,3,37,3,85,0,4,3,0,A
Male,16,0,4,2,45,1,4,4,1,B
Male,12,0,6,3,79,1,9,7,1,B
Female,18,1,13,5,68,1,5,5,1,A
Male,18,9,38,12,102,1,7,7,1,A
Male,16,1,9,5,65,2,5,4,1,A
Male,25,0,3,4,52,1,9,7,1,B
Female,9,3,3,6,49,1,6,6,1,A
Female,0,0,7,3,18,1,2,2,1,E
Male,20,2,13,12,74,1,8,5,1,A
Male,44,3,9,5,82,0,2,1,0,A
Male,16,0,4,0,56,0,6,4,0,A
Male,7,0,1,0,18,0,3,2,0,B
Male,30,0,6,2,68,1,11,9,1,B
Male,16,0,8,0,44,0,7,5,0,A
Male,12,1,1,2,5,0,0,0,0,E
Male,35,0,5,0,84,0,6,5,0,A
Female,19,0,10,7,71,1,12,8,1,A
Male,17,0,8,1,52,0,13,0,0,B
Male,3,0,2,4,44,1,3,2,1,B
Male,15,0,2,4,34,2,9,3,1,A
Male,5,0,5,3,44,0,7,6,0,B
Male,24,0,33,23,118,3,8,8,1,A
Female,20,1,1,5,45,2,8,5,2,B
Female,17,0,13,8,108,1,8,7,1,A
Female,23,4,11,8,67,1,5,5,1,A
Female,30,1,5,17,85,2,6,4,1,A
Male,12,3,21,13,83,1,6,5,1,B
Male,4,0,1,0,30,0,3,3,0,B
Female,9,7,11,10,55,3,9,4,1,A
Male,4,0,3,8,54,3,9,8,1,B
Female,0,0,5,4,37,1,4,4,1,B
Male,26,3,27,13,97,2,4,4,2,A
Female,15,1,49,16,155,1,8,7,1,A
Male,3,0,5,4,31,1,3,1,1,B
Male,6,0,4,3,43,1,7,6,1,A
Male,33,2,20,5,88,1,14,6,0,B
Female,15,1,4,9,77,1,5,5,1,A
Male,17,2,3,0,28,0,6,4,0,B
Male,12,0,9,4,68,1,8,5,1,B
Female,17,14,61,34,183,1,9,8,1,A
Male,18,2,16,12,57,1,14,0,1,A
Female,17,2,4,8,49,3,2,2,1,B
Male,15,1,3,1,48,1,9,6,0,B
Male,24,1,3,0,52,0,4,2,0,A
Male,4,8,42,31,72,5,7,6,4,A
